小渕優子,衆議院議員,自由民主党,群馬5区,,1973/12/11,組織運動本部長,empty
尾身朝子,衆議院議員,自由民主党,,北関東ブロック,1961/4/26,情報・通信関係団体委員長,empty
柿沢未途,衆議院議員,自由民主党,東京15区,,1971/1/21,,empty
梶山弘志,衆議院議員,自由民主党,茨城4区,,1955/10/18,幹事長代行,empty
勝俣孝明,衆議院議員,自由民主党,静岡6区,,1976/4/7,政務調査会 副会長,empty
勝目康,衆議院議員,自由民主党,京都1区,,1974/5/17,,empty
加藤鮎子,衆議院議員,自由民主党,山形3区,,1979/4/19,国土交通大臣政務官,empty
加藤勝信,衆議院議員,自由民主党,岡山5区,,1955/11/22,,empty
加藤龍祥,衆議院議員,自由民主党,長崎2区,,1980/2/10,,empty
門山宏哲,衆議院議員,自由民主党,千葉1区,,1964/9/3,副幹事長,empty
金子俊平,衆議院議員,自由民主党,岐阜4区,,1978/5/28,副幹事長,empty
金子恭之,衆議院議員,自由民主党,熊本4区,,1961/2/27,総務大臣,empty
金田勝年,衆議院議員,自由民主党,秋田2区,,1949/10/4,,empty
上川陽子,衆議院議員,自由民主党,静岡1区,,1953/3/1,幹事長代理,empty
亀岡偉民,衆議院議員,自由民主党,福島1区,,1955/9/10,副幹事長,empty
川崎ひでと,衆議院議員,自由民主党,三重2区,,1981/11/4,,empty
菅家一郎,衆議院議員,自由民主党,福島4区,,1955/5/20,環境部会長代理,empty
神田憲次,衆議院議員,自由民主党,愛知5区,,1963/2/19,財務金融部会長代理,empty
神田潤一,衆議院議員,自由民主党,青森2区,,1970/9/27,,empty
城内実,衆議院議員,自由民主党,静岡7区,,1965/4/19,,empty
黄川田仁志,衆議院議員,自由民主党,埼玉3区,,1970/10/13,,empty
岸信夫,衆議院議員,自由民主党,山口2区,,1959/4/1,防衛大臣,empty
岸田文雄,衆議院議員,自由民主党,広島1区,,1957/7/29,内閣総理大臣、総裁、新しい資本主義実行本部長,empty
北村誠吾,衆議院議員,自由民主党,長崎4区,,1947/1/29,,empty
木原誠二,衆議院議員,自由民主党,東京20区,,1970/6/8,内閣官房 副長官,empty
木原稔,衆議院議員,自由民主党,熊本1区,,1969/8/12,政務調査会 副会長(事務局長),empty
木村次郎,衆議院議員,自由民主党,青森3区,,1967/12/16,国土交通大臣政務官,empty
工藤彰三,衆議院議員,自由民主党,愛知4区,,1964/12/8,内閣第一部会長,empty
国定勇人,衆議院議員,自由民主党,新潟4区,,1972/8/30,,empty
国光あやの,衆議院議員,自由民主党,茨城6区,,1979/3/20,,empty
熊田裕通,衆議院議員,自由民主党,愛知1区,,1964/8/28,法務部会長代理,empty
小泉進次郎,衆議院議員,自由民主党,神奈川11区,,1981/4/14,総務会長代理,empty
小泉龍司,衆議院議員,自由民主党,埼玉11区,,1952/9/17,国際局長代理,empty
河野太郎,衆議院議員,自由民主党,神奈川15区,,1963/1/10,広報本部長,empty
高村正大,衆議院議員,自由民主党,山口1区,,1970/11/14,財務大臣政務官,empty
古賀篤,衆議院議員,自由民主党,福岡3区,,1972/7/14,厚生労働副大臣,empty
國場幸之助,衆議院議員,自由民主党,沖縄1区,,1973/1/10,経済産業部会長代理,empty
小島敏文,衆議院議員,自由民主党,広島6区,,1950/9/7,国土交通部会長,empty
小寺裕雄,衆議院議員,自由民主党,滋賀4区,,1960/9/18,内閣府大臣政務官,empty
後藤茂之,衆議院議員,自由民主党,長野4区,,1955/12/9,厚生労働大臣,empty
後藤田正純,衆議院議員,自由民主党,徳島1区,,1969/8/5,,empty
